Input_Size,Time_Taken
1,0
11,0
21,0
31,0
41,0
51,0
61,0
71,0
81,0
91,0
101,0
111,0
121,0
131,0
141,0
151,0
161,0
171,0
181,0
191,0
201,0
211,0
221,0
231,0
241,0
251,0
261,0.001005
271,0
281,0
291,0
301,0
311,0
321,0
331,0.000577
341,0
351,0
361,0
371,0
381,0
391,0
401,0
411,0
421,0
431,0
441,0.001003
451,0
461,0
471,0
481,0
491,0
501,0
511,0
521,0
531,0
541,0.000999
551,0
561,0
571,0
581,0
591,0
601,0
611,0
621,0.001
631,0
641,0
651,0
661,0
671,0
681,0
691,0.001
701,0
711,0
721,0
731,0
741,0
751,0.001
761,0
771,0
781,0
791,0
801,0.001
811,0
821,0
831,0
841,0
851,0
861,0
871,0
881,0.001502
891,0
901,0
911,0
921,0
931,0.001003
941,0
951,0.000501
961,0
971,0
981,0
991,0.001002
1001,0
1011,0
1021,0
1031,0
1041,0
1051,0
1061,0
1071,0
1081,0.001
1091,0
1101,0
1111,0
1121,0.001
1131,0
1141,0
1151,0.001
1161,0
1171,0
1181,0
1191,0.001
1201,0
1211,0
1221,0.001001
1231,0
1241,0
1251,0
1261,0
1271,0.001502
1281,0
1291,0
1301,0.001002
1311,0.000502
1321,0
1331,0
1341,0
1351,0
1361,0
1371,0
1381,0
1391,0
1401,0.001
1411,0
1421,0
1431,0.001
1441,0
1451,0
1461,0.001
1471,0
1481,0
1491,0.001
1501,0
1511,0
1521,0.001
1531,0
1541,0
1551,0
1561,0.001501
1571,0
1581,0.001002
1591,0.000502
1601,0
1611,0
1621,0.001001
1631,0
1641,0.001001
1651,0
1661,0.001
1671,0
1681,0
1691,0.000999
1701,0
1711,0.001002
1721,0
1731,0
1741,0
1751,0
1761,0.001
1771,0
1781,0
1791,0.001501
1801,0
1811,0
1821,0.001002
1831,0.000827
1841,0
1851,0.000677
1861,0
1871,0.000999
1881,0
1891,0.001001
1901,0
1911,0.000999
1921,0
1931,0.001
1941,0
1951,0.001
1961,0
1971,0.001
1981,0
1991,0.001615
2001,0.000605
2011,0
2021,0.00109
2031,0.000929
2041,0
2051,0.000986
2061,0
2071,0.001114
2081,0
2091,0
2101,0.001601
2111,0
2121,0.001109
2131,0.000986
2141,0
2151,0
2161,0.001603
2171,0.000603
2181,0
2191,0.000832
2201,0
2211,0.001284
2221,0
2231,0.000973
2241,0.000922
2251,0.000997
2261,0
2271,0.0011
2281,0
2291,0
2301,0.001003
2311,0
2321,0.001006
2331,0.000587
2341,0.0006
2351,0.001008
2361,0
2371,0.001088
2381,0
2391,0.001004
2401,0
2411,0.001013
2421,0.000985
2431,0
2441,0.000998
2451,0.001005
2461,0
2471,0.001005
2481,0.000917
2491,0.0006
2501,0.000974
2511,0
2521,0.001123
2531,0
2541,0.001003
2551,0.000908
2561,0
2571,0.001079
2581,0.001
2591,0
2601,0.001006
2611,0.000999
2621,0
2631,0
2641,0.000625
2651,0
2661,0.001088
2671,0.001002
2681,0
2691,0.00101
2701,0.000992
2711,0
2721,0.001009
2731,0.000994
2741,0.001
2751,0
2761,0.000998
2771,0.000995
2781,0.000602
2791,0.000896
2801,0
2811,0.001192
2821,0.001006
2831,0
2841,0.000995
2851,0.001004
2861,0.000996
2871,0
2881,0.000999
2891,0.001002
2901,0
2911,0.001585
2921,0.000655
2931,0.001115
2941,0.000985
2951,0
2961,0.001003
2971,0.001004
2981,0.001006
2991,0
3001,0
3011,0.000991
3021,0.001002
3031,0.000994
3041,0.000593
3051,0.000964
3061,0
3071,0.001133
3081,0.001004
3091,0.000999
3101,0.001001
3111,0.000904
3121,0.001001
3131,0
3141,0.001083
3151,0.00101
3161,0.001182
3171,0
3181,0.001107
3191,0.000992
3201,0.000994
3211,0.001006
3221,0.001004
3231,0
3241,0.000992
3251,0.001
3261,0.001004
3271,0.000941
3281,0.001098
3291,0.000935
3301,0.001173
3311,0.000988
3321,0.001004
3331,0
3341,0.001005
3351,0.000925
3361,0.000978
3371,0.001088
3381,0.001005
3391,0
3401,0.001104
3411,0.000946
3421,0.001044
3431,0.000916
3441,0
3451,0.001601
3461,0.001053
3471,0.001034
3481,0.001603
3491,0.000594
3501,0.001069
3511,0.001028
3521,0.000998
3531,0.000997
3541,0.000995
3551,0.001006
3561,0.000999
3571,0.000957
3581,0
3591,0.001616
3601,0.001454
3611,0.001157
3621,0.001081
3631,0.000997
3641,0.000927
3651,0.001071
3661,0
3671,0
3681,0
3691,0
3701,0.001219
3711,0.001008
3721,0.001085
3731,0.001001
3741,0.001016
3751,0.000921
3761,0.00106
3771,0
3781,0.0016
3791,0.001098
3801,0.00093
3811,0.001307
3821,0.000999
3831,0.000917
3841,0.001014
3851,0.001036
3861,0.001033
3871,0.001596
3881,0
3891,0.00059
3901,0.00109
3911,0.000942
3921,0.001058
3931,0.001001
