Input_Size,Time_Taken
1,0
11,0
21,0
31,0
41,0
51,0
61,0
71,0
81,0
91,0
101,0
111,0
121,0
131,0
141,0
151,0
161,0
171,0
181,0
191,0
201,0
211,0
221,0
231,0
241,0
251,0
261,0
271,0
281,0
291,0
301,0
311,0
321,0
331,0
341,0
351,0
361,0
371,0
381,0
391,0
401,0
411,0
421,0
431,0
441,7800000
451,0
461,625000
471,0
481,0
491,0
501,1343000
511,0
521,0
531,0
541,0
551,0
561,0
571,0
581,0
591,0
601,0
611,0
621,0
631,0
641,0
651,0
661,0
671,0
681,0
691,0
701,0
711,0
721,0
731,0
741,0
751,0
761,0
771,0
781,0
791,0
801,13797000
811,865000
821,0
831,2009000
841,0
851,0
861,0
871,0
881,0
891,4039000
901,0
911,0
921,0
931,0
941,0
951,0
961,0
971,0
981,8783000
991,1902000
1001,1859000
1011,0
1021,0
1031,0
1041,6565000
1051,0
1061,2010000
1071,0
1081,0
1091,4414000
1101,1687000
1111,0
1121,2091000
1131,0
1141,0
1151,0
1161,0
1171,0
1181,0
1191,10855000
1201,0
1211,4309000
1221,1487000
1231,0
1241,0
1251,0
1261,0
1271,0
1281,10055000
1291,0
1301,4627000
1311,1444000
1321,0
1331,0
1341,0
1351,0
1361,10057000
1371,0
1381,0
1391,7423000
1401,0
1411,0
1421,0
1431,8385000
1441,0
1451,0
1461,6238000
1471,2014000
1481,3884000
1491,0
1501,0
1511,0
1521,10501000
1531,1926000
1541,3059000
1551,0
1561,6184000
1571,0
1581,9458000
1591,2999000
1601,0
1611,4568000
1621,1607000
1631,0
1641,0
1651,0
1661,15523000
1671,0
1681,0
1691,0
1701,0
1711,14899000
1721,1444000
1731,0
1741,0
1751,13946000
1761,2608000
1771,0
1781,5245000
1791,0
1801,10109000
1811,1881000
1821,7898000
1831,6808000
1841,4889000
1851,0
1861,7947000
1871,5645000
1881,1899000
1891,9460000
1901,5041000
1911,0
1921,9343000
1931,7477000
1941,5151000
1951,4128000
1961,7843000
1971,6380000
1981,8030000
1991,4029000
2001,0
2011,12604000
2021,1427000
2031,0
2041,0
2051,15235000
2061,5044000
2071,0
2081,11664000
2091,1490000
2101,0
2111,11391000
2121,5901000
2131,0
2141,9876000
2151,4835000
2161,1785000
2171,9030000
2181,7474000
2191,0
2201,14920000
2211,2834000
2221,16622000
2231,0
2241,0
2251,13701000
2261,4211000
2271,14641000
2281,0
2291,0
2301,16632000
2311,4816000
2321,9730000
2331,4290000
2341,9019000
2351,5419000
2361,0
2371,14740000
2381,1644000
2391,9806000
2401,6459000
2411,0
2421,15245000
2431,1905000
2441,8062000
2451,8291000
2461,5651000
2471,9434000
2481,1746000
2491,0
2501,18308000
2511,8741000
2521,4459000
2531,14441000
2541,4695000
2551,3462000
2561,10032000
2571,6239000
2581,8247000
2591,5990000
2601,9657000
2611,9010000
2621,0
2631,14691000
2641,0
2651,14644000
2661,0
2671,17276000
2681,0
2691,15979000
2701,0
2711,22970000
2721,9269000
2731,3886000
2741,12824000
2751,11438000
2761,7233000
2771,0
2781,15998000
2791,0
2801,19624000
2811,10086000
2821,9853000
2831,9027000
2841,4768000
2851,12705000
2861,4632000
2871,14806000
2881,0
2891,17637000
2901,12130000
2911,1840000
2921,16066000
2931,6768000
2941,12138000
2951,8699000
2961,6185000
2971,14920000
2981,1492000
2991,16509000
3001,9127000
3011,7766000
3021,16052000
3031,7161000
3041,10321000
3051,0
3061,16360000
3071,16501000
3081,0
3091,16516000
3101,15423000
3111,7325000
3121,19568000
3131,10805000
3141,13620000
3151,0
3161,19825000
3171,13165000
3181,10376000
3191,6032000
3201,15990000
3211,11410000
3221,10165000
3231,12675000
3241,8976000
3251,14305000
3261,12616000
3271,14323000
3281,0
3291,24292000
3301,8819000
3311,13897000
3321,3326000
3331,20268000
3341,16468000
3351,12833000
3361,10748000
3371,9986000
3381,13663000
3391,16398000
3401,1074000
3411,21677000
3421,8298000
3431,21350000
3441,12722000
3451,12870000
3461,18225000
3471,1685000
3481,22573000
3491,12669000
3501,15127000
3511,13647000
3521,12615000
3531,6793000
3541,14414000
3551,14861000
3561,15786000
3571,15948000
3581,0
3591,17576000
3601,19164000
3611,18797000
3621,16148000
3631,8749000
3641,15461000
3651,15992000
3661,20971000
3671,11135000
3681,15779000
3691,0
3701,33342000
3711,20123000
3721,9793000
3731,24620000
3741,16638000
3751,13931000
3761,15734000
3771,15851000
3781,20505000
3791,10967000
3801,16342000
3811,16541000
3821,16280000
3831,17955000
3841,13752000
3851,15841000
3861,14709000
3871,15796000
3881,15807000
3891,17343000
3901,21585000
3911,15478000
3921,17725000
3931,16660000
3941,16627000
3951,16676000
3961,16684000
3971,18723000
3981,17627000
3991,23507000
4001,18954000
4011,15474000
4021,18405000
4031,18838000
4041,17300000
4051,15363000
4061,19899000
4071,14572000
